audio,transcription,real transcription
myaudio/450021.wav, اسلایت ما میتونیم تحییب کنیم مثل همین اسلایت های که الان موشاید میگنیم اینها دهیرن با لتک ایجاد شده و با استفاده از,اسلاید ما میتونینم تهیه بکنیم مثل همین اسلایدهایی که الان مشاهده می کنید اینا دقیقا با لتک ایجاد شده و با استفاده از
myaudio/450022.wav, سب که بیمر توالید چوده تمومان. اما واقعیتی که هستین اکه لتک محبوبیت بیشتری در بینه,سبک بیمر تولید شده تماما اما واقعیتی که هست اینه که لتک محبوبیت بیشتری در بین
myaudio/450023.wav, دانشکاهیان دارت به ویجرشتاهای اونوم پایه و موهندسی.,دانشگاهیان دارد به ویژه رشته های علوم پایه و مهندسی
myaudio/450024.wav, زیباتر هست و هالا بیویجگیهای دیگر هم دار که سل مغوه خود شاید بهش سوحبت,زیباتر هست و حالا یه ویژگی هایی دیگری هم داره که سر موقع خودش راجع بهش صحبت
myaudio/450025.wav, خایم کرد. بمین دلیل میگم مردنهای که در ایش فرمول زیادی وجود داشته باشه بیشتر مرد علاقه هست که با لتک کار بیش.,خواهیم کرد به همین دلیل میگم متن هایی که درش فرمول زیادی وجود داشته باشه بیشتر مورد علاقه هست که با لتک کار بشه
myaudio/450026.wav, اما سعالی که پیش میاد اینه که خوب در به این سیستمهای هوروف چینی,اما سوالی که پیش میاد اینه که خب در بین سیستم های حروف چینی
myaudio/450027.wav, یا نرمفسارها ای که میشه باش هروف چی نرنجام دات یک دست نرمفسارها هستن مثل مجموح افیس,یا نرم افزار هایی که میشه باهاش حروف چینی انجام داد یک دسته نرم افزارا هستند مثل مجموعه ی آفیس
myaudio/450029.wav, سالین که کار کردن الارق می اینگه با این نرمفسارها بسیار سادتر هست ولی کرا؟,سوال اینه که کار کردن علیرغم اینکه با این نرم افزارها بسیار ساده تر هست ولی چرا
myaudio/450030.wav, ما خودمون رو مجاب بین می کنیم که بیریم سختی رو ببه پذیریم، لتک رو یاد بگیریم,ما خودمون رو مجاب به این می کنیم که بریم سختی رو بپذیریم لتک رو یاد بگیریم
myaudio/450031.wav, و مچنهای خوده من رو باستفاده از لتک تو لید بکنیم. چه رازی داری نهوفر است؟ میهای میگیم,و متن های خودمون رو با استفاده از لتک تولید کنیم چه رازی در این نهفته است میایم میگیم
myaudio/450033.wav, اولین ایراد اشکالا شاید بزوکته این اشن باشه که اون اولی ماکرسافترافیز رایگان نیست,اولین ایراد اش که حالا شاید بزرگترین اش هم باشه اینه که اونا اون اولی مایکروسافت آفیس رایگان نیست
myaudio/450034.wav, که ما اگر بخواید استفاده بکنید یا باید نقض کوپیرائیت بکنید یا باید پول بیدید و اوندو بخرید,شما اگر بخواید استفاده بکنید یا باید نقض کپی رایت بکنید یا باید پول بدید و اون رو بخرید و از همه مهمتر اینکه
myaudio/450035.wav, خروجی که لتک پره شما توالید میگنه به مراتب زیباتر و جزابتر هست از,خروجی که لتک برای شما تولید میکنه به مراتب زیباتر و جذابتر هست از
myaudio/450037.wav, هالا در آیل این که ما از لرچک استفاده می کنیم رو من چند تشتو هم اینجا باردهم,حالا دلایلی این که ما از لتک استفاده می کنیم رو من چند تاش رو این جا آوردم
myaudio/450043.wav, اما دلتک جورینیست، دلتک شما مطن رو اگر توانستید با یک سیستم,اما در لتک اینجوری نیست در لتک شما متن رو اگر توانستید با یک سیستم
myaudio/450044.wav, با یک کامپیوتر توولید بکنید به دلستی و بدون خطان این مطنشما با هر کامپیوتر دیگه دیگه دیگه,با یک کامپیوتر تولید بکنید به درستی و بدون خطا این متن شما با هر کامپیوتر دیگری که
myaudio/450046.wav, دا و منکه کیفیت بسیار بالا ایما دا هروف چیدی مطون ریاضی داریم در لتک,دوم این که کیفیت بسیار بالایی ما در حروفچینی متون ریاضی داریم در لتک
myaudio/450047.wav, که این کفیت هرگز در فورت قابل مشاهده نیست بومبان نیمونه و یه,که این کیفیت هرگز در ورد قابل مشاهده نیست به عنوان نمونه و یه
myaudio/450048.wav, اینجاد اینگیزه من بیام دو تا نمونه به شما نشون بدم,ایجاد انگیزه من بیام دو تا نمونه به شما نشون بدم
myaudio/450050.wav, این رو هم نگاه می کنیم بوندوانی یه نمونیی دیگه,این رو هم نگاه می کنیم به عنوان یه نمونه ی دیگه
myaudio/450052.wav, این رو هردو رو من بیام کنالا هم قرار بدام ببینیت این رو من بیام این ور بزارم اش,اینا رو هر دو رو من بیام کنار هم قرار بدم ببینید این رو من بیام این ور بذارمش
myaudio/450054.wav, شو مگر نگاه بکنی، مطن سمت چپ این مچ با استفاده از وور تولید شده,شما اگر نگاه بکنید متن سمت چپ این متن با استفاده از ورد تولید شده
myaudio/450055.wav, متم سمت راست با استفاده از لتک ایجاد شدیم. بمبان مثال شما این ماتریزی که این سمتونیج دار اگر نگاق بکنید,متن سمت راست با استفاده از لتک ایجاد شده به عنوان مثال شما این ماتریسی که این سمت تولید شده رو اگر نگاه بکنید
myaudio/450056.wav, با همون ماتویز که در این سمپت توالیت چوده اگر مغایسه بکنیت، خوب میبینیت کاملن تفاوات رو میتون احساس بکنیت,با همون ماتریس که در این سمت تولید شده اگر مقایسه بکنید خب می بینید کاملاً تفاوت رو می تونید احساس بکنید
myaudio/450057.wav, یا انتگرالی که اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا اینجا این,یا انتگرالی که اینجا ایجاد شده با انتگرالی که اینجا ایجاد شده یا حدی که اینجا ایجاد شده حدی که اینجا ایجاد شده
myaudio/450058.wav, و بگیه ای موالدی که وجوده کهی فیت خوروجی بسیار مدفاوت هست,و بقیه ی مواردی که وجود داره کیفیت خروجی بسیار متفاوت است
myaudio/450060.wav, امه کفیت فرمونها خیلی با انفردن کنی,مشکل نمایش خاصی نداره اما کیفیت فرمول ها خیلی با هم فرق میکنه
myaudio/450061.wav, پتا وقت دلیل اصلای که ما به این سمت رو میاریم و لتک فوسائی می کنیم یاد بگیریم,پس در واقع دلیل اصلی که ما به این سمت رو میاریم و لتک رو سعی می کنیم یاد بگیریم
myaudio/450062.wav, همین مجرده از که کیفیت بسیار بالای رماده حروف چینی فرمولهای ریاضی خاهم داشت,همین ماجرا هست که کیفیت بسیار بالایی رو ما در حروف چینی فرمول های ریاضی خواهیم داشت
myaudio/450063.wav, اگر شما با وارد ماکرسافت افیس بخود یک فایل بزور گی مثل کتاب تولید بکنید,اگر شما با ورد مایکروسافت افیس بخواید یک فایل بزرگی مثل کتاب تولید بکنید
myaudio/450064.wav, اما در لتک این چکلی نیست، چما برای این که یه کتاب توالید بکنید فقط کافی از سایل بوک استفاده بکنید.,اما در لتک این شکلی نیست شما برای اینکه یک کتاب تولید بکنید فقط کافیه از استایل بوک استفاده بکنید
myaudio/450066.wav, فونتها اندازی فونتها همه چی در اختیار خود لتک خواهت بود بخیلی راحت کار می کنه,فونت ها اندازه ی فونت ها همه چی در اختیار خود لتک خواهد بود و خیلی راحت کار میکنه
myaudio/450068.wav, ثم دلیل این از که متلقات نوشتاری مربوط بمت در لتک,سومین دلیل این است که متعلقات نوشتاری مربوط به متن در لتک
myaudio/450069.wav, یعنی فقط کافی ما تکتستورهای لازم رو بکار بیوریم و این متالقات نوشتاری ایجاد بشن. متالقات نوشتاری یعنی چی؟,یعنی فقط کافیه ما تک دستورهای لازم رو به کار ببریم و این متعلقات نوشتاری ایجاد بشن متعلقات نوشتاری یعنی چی
myaudio/450070.wav, مثلا فهره سبول کتاب، مثلا نمائی یا همون اندیکسی که در انتاهای کتاب ظاهر میشه یا,مثلا فهرست اول کتاب مثلا نمایه یا همان ایندکسی که در انتهای کتاب ظاهر میشه یا
myaudio/450071.wav, ارجاهای که به شکلها جداول فورمولها در مرتن میدیم,ارجاع هایی که به شکل ها جداول فرمولها در متن میدیم
myaudio/450073.wav, از سیستم آمیل مستغل دی، یعنی شما بهییچ سیستم آمیل خاصی وابستیگی نداریت. میتونه در ویندوز باشه، میتونه در لینوکس باشه یادر,از سیستم عامل مستقل یعنی شما به هیچ سیستم عامل خاصی وابستگی ندارید می تونه در ویندوز باشه میتونه در لینوکس باشه یا در
myaudio/450078.wav, این اله برخی از مزایهی بود که لتک نسبت به نرمفسرهای دیگر هوروف چینی داشت,این حالا برخی از مزایایی بود که لتک نسبت به نرم افزارهای دیگر حروفچینی داشت
myaudio/450080.wav, نصب کنیم و کارای رنجام بدیم برای لچه کم همینیم. ما اول هچمان باید کارای رنجام بدیم یک سری,نصب بکنیم و کارایی رو انجام بدهیم برای لتک هم همینه ما اول حتماً باید کارهایی رو انجام بدیم یکسری
myaudio/450082.wav, اصلاحن کامپايل بکنید و خروجی پیدی اف رو برایش توالید بکنید,اصطلاحا کامپایل بکنید و خروجی پی دی اف رو براش تولید بکنید
myaudio/450087.wav, پشناد ما این از که چکلهای بی 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2.0 او 2,پیشنهاد من این است که تک لایو دو هزار پونزده نصب کنید به دلیل اینکه اولاً کامل هست و تمامی پکیج های کتاب
myaudio/450094.wav, که که ستوديورو داندوط کنید از همون فایس ایرور میتونید برش دارید نستمش بکنید و کارتونو بر چروب کنید به,تک استودیو رو دانلود کنید از همون فایل سرور میتونید برش دارید نصبش بکنید و کاراتون رو بعد شروع کنید به
myaudio/450095.wav, نسخی مورد نظر تم تحییق,انجام دادن خب حالا برای اینکه ما نصب بکنیم تک لایو باید چیکار کنیم میگیم نسخه ی مورد نظرتون رو تهیه کنید
myaudio/450102.wav, و هر چی به شما پشناهت میده شما قبول کنید,تا اجرا بشه و هر چی به شما پیشنهاد میده شما قبول کنید اوکی نکس اوکی نکس تا
myaudio/450105.wav, چیز هدود بیس سی دایق تا سی دایق بسته بسورات کامپیوترشما و سیسته مااملی که استفادمی کنی تو ل می کشه هی تا این آماده بکار بش.,چیزی حدود بیست دقیقه تا سی دقیقه بسته به سرعت کامپیوتر شما و سیستم عاملی که استفاده می کنید طول میکشه تا این آماده به کار بشه
myaudio/450107.wav, نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف نصف,آنتی ویروس رو غیر فعال کنید تا سرعت نصب بیشتر بشه و الا یکم طول خواهد کشید چون سه هزار پکیج باید نصب بشه
myaudio/450108.wav, و هر پکیج اگر بخواد بانتی ویروس اول چیک بشه تا عالوده نباشه و بعد نسبشه شاید زمان نسبتون تا سساعت هم,و هر پکیجی اگر بخواد با آنتی ویروس اول چک بشه تا آلوده نباشه و بعد نصب بشه شاید زمان نصب اتون تا سه ساعت هم
myaudio/450109.wav, افتاویش پیدا بکنه که درد سردادی میردار پس این کارت من انجام ایش بیدیت خوب,افزایش پیدا بکنه که درد سر داره یه مقدار پس این کار رو حتما انجامش بدید خب
myaudio/450110.wav, نرنفسر تک استوديور هم نصفش بکنیت، اون هران چکی در واقعی بشما میاد,نرم افزار تک استودیو رو نصبش کنید اونم هر آنچه که در واقع به شما میاد
myaudio/450111.wav, همارا اکای بزنید و اینسالش بکنید رو همون مسید پیشفقز خودشی که تغیر ندید سف هکیلید موجودتون هم حسف کنید,گزینه میده همه رو اوکی بزنید و اینستال اش بکنید رو همون مسیر پیش فرض خودش هیچ چی تغییر ندید صفحه ی کلید موجود اتون هم حذف کنید
myaudio/450114.wav, یه فایلی رو الان باز کنیت هر فایلی که بود مهمیست,یه فایلی رو حالا باز کنید هر فایلی که بود مهم نیست
myaudio/450115.wav, برای این که ترس بگیرید ببینیسفکیلی تو نیاز به تحویز داره یا نه؟ مالان یه فائلی اینجود دارم که استفاده میکنم از اش,برای اینکه تست بگیرید ببینید صفحه کلید اتون نیاز به تعویض داره یا نه من الان یه فایلی اینجا دارم که استفاده می کنم ازش
myaudio/450118.wav, بیای از سفکلیتون فارسی کنید و دکمه ایم رو بزنید اگر ایم رو بزنید احتمالا برای شما همزه میاریم,بیاید صفحه کلید اتون فارسی کنید و دکمه ی ام رو بزنید اگر ام رو بزنید احتمالا برای شما همزه میاره
myaudio/450124.wav, فانتهای رو هم که دوست دارید یا نیاز دارید فانتها رو هم بیاید در پوشه فانته,فونت هایی رو هم که دوست دارید یا نیاز دارید فونتها را هم بیاید در پوشه ی فونت
myaudio/450125.wav, ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نصف بکنیت ویندوزتون نص,ویندوز اتون نصب بکنید یعنی اونجا کپی بکنید نصب میشه دیگه و این کار رو که انجام بدید تمومه همه چیز تموم شده و آماده ی
myaudio/450127.wav, مغیری که بشروع میکنید بکار کرنند با تقیرات رو خاهید دید و میبینید که مرد استفاده میتونید قرار بیدید فایلهایی,موقعی که شروع می کنید به کار کردن بعد تغییرات رو خواهید دید و می بینید که مورد استفاده می تونید قرار بدید فایل های
myaudio/450128.wav, خب برددن گنگار رو شما انجام دادید یه,تک رو خب بعد از این که این کار رو شما انجام دادید یه
myaudio/450129.wav, آی کنی این شکلی ایجاد می شروی کامپیتر تو این روی دیسک سابه تو نحتمالن توی کجا من دارم اش,آیکونی این شکلی ایجاد میشه روی کامپیوتر روی دسکتاپ تتون احتمالا توی کجا من دارمش
myaudio/450132.wav, کار داریم و میخوایم استفاد بکنیم عدش از این به برد,کار داریم و می خوایم استفاده بکنیم ازش از این به بعد
myaudio/450134.wav, که با همش میتونیت کار بکنیت هیچ مختودیت هیم بجود نداره بعد هر کدو بم دوستاید میتونیت دستفاده بکنیتی هالا,که با همش میتونید کار بکنید هیچ محدودیتی هم وجود نداره و از هر کدوم ام دوست دارید می تونید استفاده بکنید حالا
myaudio/450136.wav, اما اگر فرصی بخود کار بکنید نیاز به یه چیز اضافهی دارید بنام پکیه جیابستگ زیپرشن,اما اگر فارسی بخاید کار بکنید نیاز به یه چیزی اضافه ایی دارید به نام پکیج یا بسته ی زی پرشن
myaudio/450140.wav, یک از دانشوان دکتورای ایرانی مغیم سیدنی دلون سالها رشته ای توپولوجی,یکی از دانشجویان دکترای ایرانی مقیم سیدنی در اون سال ها رشته ی توپولوژی
myaudio/450141.wav, ایشون اومد یه در واقعی پکیج رو شروع کردن روش و تونست فارسی رو برایلته کتریف بکنه,ایشون اومد یه در واقع پکیجی رو شروع کرد به کار کردن رووش و تونست فارسی رو برای لتک تعریف بکنه
myaudio/450142.wav, و از اون سال ببت تو سی پیدا کرت تا سال دوزار دخب پایداری رسید و احلا نم که دیگه تقریبا باگان چنانی نداده و خیلی خوب.,و از اون سال به بعد توسعه پیدا کرد تا سال دو هزار ده به پایداری رسید و الان هم که دیگه تقریباً باگ آنچنانی نداره و خیلی خوب
myaudio/450143.wav, کار می کنه برای همه مواردی که شما نیاز دارید میتونه پاسخ کو باشیم خیل خوب,کار میکنه برای همه ی مواردی که شما نیاز دارید میتونه پاسخگو باشه خیلی خب
myaudio/450145.wav, پره اینکه کار با شما شروع بکنیت همواره نیازه به این داریت که یک فایل اجاد بکنیت,برای اینکه کار رو شما شروع بکنید همواره نیاز به این دارید یک فایل ایجاد بکنید
myaudio/450148.wav, دو تا نکتم این اول هرگی از نام فائلتون رو با هروف فارسی,دو تا نکته همین اول هرگز نام فایلتون رو با حروف فارسی
myaudio/450149.wav, نام بزاری نکنید اشکال به وجود خاعدامت دو وام فولدر های همکه این فائل هاتوش قرار دارند رو,نامگذاری نکنید اشکال به وجود خواهد آمد دوم فولدر هایی هم که این فایل ها توش قرار دارند
myaudio/450150.wav, به هروف فرسی نام گزالی نکنید، ایراد به بارخه هداورد. اینه...,با حروف فارسی نامگذاری نکنید ایراد به بار خواهد آورد اینا
myaudio/450151.wav, نقات مهمی اگه رایت نکنید پت بگی ایرورای بخورد می کنید که میبینید ایرور داری میده خطا داری میده نمیتونید بفهمید از کجاست,نکات مهمی هست اگر رعایت نکنید بعد به یک ارور هایی برخورد می کنید که می بینید ارور داره میده خطا داره میده نمی تونید بفهمید از کجاست
myaudio/450155.wav, فایلو ایجاد کردید گوزینی سیو روک بزنید درست یه نام از شما میخواد یه نام دلخوابی هاش میدید پسفند و هم میدید,فایل ایجاد کردید گزینه ی سیو رو که بزنید درست یه نام از شما می خواد یه نام دلخواه بهش میدید پسوند هم به آن می دید
myaudio/450157.wav, هلا میخم شروع بکنن بکار کردن میگیم یک فائلی لتک برای این که با حدقا ل امکانات,حالا می خوام شروع بکنم به کار کردن می گیم یک فایل لتک برای این که با حداقل امکانات
myaudio/450159.wav, یک فایل لتک برای این که با حدقا ل امکانان چرو بکن بکار دو قسمت عصیبا یه داشته باشی,یک فایل لتک برای این که با حداقل امکانات شروع بکنه به کار دو قسمت اصلی باید داشته باشه
myaudio/450166.wav, داکیومند شروع میشه و به انده داکیومند ختم میشه به این قسمات میگن بدانه,داکیومنت شروع میشه و به اند داکیومنت ختم می شه به این قسمت میگن بدنه
myaudio/450167.wav, شما حران چکی میخوای توالید بشید در این رسمت میمویسید,شما هر آنچه که می خواید تولید بشه در این قسمت می نویسید
myaudio/450172.wav, روه اگرسمت دیفالت کامپایلر اولین اجراره که شما انجام بدید بعد از نسک اینجا شما میبینید این شکلی این,روی قسمت دیفالت کامپایلر اولین اجرا را که انجام بدید بعد از نصب این جا شما می بینید این شکلیه
myaudio/450173.wav, پیدی افلتکی این برد ما نمی خواهله برای فارسی ها برای اینگیرسی این کار می کنه,پی دی اف لتک این به درد ما نمیخوره برای فارسیا برای انگلیسی این کار میکنه
myaudio/450174.wav, ولو چون ما میخوایم فارسی کار بکنیم میگیم بروی این PDF لتک شما بیاید از PDF لتک به زیلتک تغییر شبیدید,ولی چون ما می خواهیم فارسی کار بکنیم می گیم روی این پی دی اف لتک شما بیاید از پی دی اف لتک به زی لتک تغییرش بدید
myaudio/450175.wav, اوکی رو هم بزنیت. حالا شما اگر دوکمه یه اف یک رو فشار بیدیت,اوکی رو هم بزنید حالا شما اگر دکمه ی اف یک رو فشار بدید
myaudio/450176.wav, بسمتر راست چمالا نگا کنیت، من دوکمه ای اف یک روان اینجا فشار میدم. سمتر راست داره این تولید میشه.,به سمت راست شما الان نگاه کنید من دکمه ی اف یک رو اینجا فشار میدم سمت راست داره این تولید میشه
myaudio/450180.wav, هلا، مرگر بیمینجا یه مطن فارسی بمیسم، مثلا بمیسم، سلام.,حالا من اگر بیام اینجا یه متن فارسی بنویسم مثلا بنویسم سلام این
myaudio/450182.wav, میبینید که فقط یعلامت تجوب یه نقطه اومت هیچ مطن فرصی نمای اشتاده,می ببینید که فقط یه علامت تعجب یه نقطه اومد هیچ متن فارسی ایی نمایش داده
myaudio/450184.wav, ما گفتیم که در وقت لاته که به خودی خود فرصی رو نمیشنسته,ما گفتیم که در واقع لتک به خودی خود فارسی رو نمیشناسه
myaudio/450193.wav, هلا یک از مهمترین مواردی رو که ما در پریامبل استفاده میکنیم استفاده از پکیچها یا بسته هست,حالا یکی از مهمترین مواردی رو که ما در پریامبل استفاده میکنیم استفاده از پکیج ها یا بسته هاست
myaudio/450194.wav, با دست دوری use package,با دستور یوز پکیج خب من اگر بخوام فارسی کار بکنم کافیست بیام در قسمت پریامبل
myaudio/450195.wav, ات دستوریم، use package استفاده بکنم و z perhenshhen رو اینجا,از دستور یوز پکیج استفاده بکنم و زی پرشن رو اینجا
myaudio/450199.wav, چرا؟ چون من فونتی رو تحین نکردم براش پس یه دستور دیگه من اینجا میام قرار میدم میگم 3 تکست فونت,چرا چون من فونتی رو تعیین نکردم براش پس یه دستور دیگه من اینجا میام قرار میدم میگم ست تکست فونت
myaudio/450201.wav, فشار میدم شما اگه نگاوا پکانیت فارسی ام دیگه زاهر شدینجا میگه این اولیم فایله,فشار میدم شما اگه نگاه بکنی فارسی همدیگه ظاهر شد اینجا میگه این اولین فایل
myaudio/450205.wav, بکار ببرید، هنگا میکه از پکیج زیپرشن استفاده میکنید,به کار ببرید هنگامی که از پکیج زی پرشن استفاده می کنید
myaudio/450207.wav, و هر چکه دارید داخل این اکولات بین ویسید و در انتها اکولات رو ببندید.,و هر چه که دارید داخل این آکولاد بنویسید و در انتها آکولاد رو ببندید من الان اگر
myaudio/450216.wav, ایجازو بدید من درستش کنم ادام امیدم شوق دیدار تو,اجازه بدید من درستش کنم ادامه میدم شوق دیدار تو
myaudio/450225.wav, پارا گراف پلدی از اینجا شروع میشه فورورفتگی اولم خودش رایت می کنه بدونه هیچ مشکلی,پاراگراف بعدی از اینجا شروع میشه فرورفتگی اول ام خودش رعایت میکنه بدون هیچ مشکلی
myaudio/450230.wav, یکی ست تکسٹ فونت رو مرم گفتم برای تریفه فونت حالا,یکی ست تکست فونت رو اومدم گفتم برای تعریف فونت حالا
myaudio/450238.wav, بیوهید یه چیز رو چکنیت، مثلا بینی ویسید می شاورت، این می شاورت,بیاید یه چیزی رو چک کنید مثلا بنویسید می شود این می شود
myaudio/450239.wav, یا این نیشه وات برای شما زاهر میشه، کدوم میشه؟ ببینیت؟,یا این می شود برای شما ظاهر میشه کدوم اشه ببینید
myaudio/450243.wav, مالان برای این میشهوار رو توالید کنم یا مثلا می توان میم رو توالید بکنم,من الان برای اینکه این می شود تولید کنم یا مثلا می توانیم رو تولید بکنم
myaudio/450245.wav, این روال که الان میگم و تیو کنی تا درست بشید اولین کاری که انجام میدید بیای توی قسمت ماکروز,این روالی که الان من میگم طی بکنید تا درست بشه اولین کاری که انجام می دید بیاید توی قسمت ماکروس
